"1";"Additional Technical Direction and Training";"";""
"1";"Admins";"";""
"1";"Advisory Board ";"";""
"2";"Analysis Specialist";"";""
"1";"Angestellte Mitarbeiter";"";""
"1";"Application Development";"";""
"1";"Assistant Editor";"";""
"1";"Associate Director";"";""
"2";"Associate Editor";"";""
"1";"Associate Investigator";"";""
"4";"Autor";"";""
"2";"Bearbeiter";"";""
"1";"Benutzer";"";""
"1";"Bibliographer";"";""
"1";"Collaborator";"";""
"1";"Computational Linguist";"";""
"2";"Consultant";"";""
"1";"contributions to the website";"";""
"1";"Contributors";"";""
"1";"Coordinating Editor";"";""
"1";"Coordination";"";""
"1";"Danksagungen";"";""
"1";"Data Architect";"";""
"1";"data management";"";""
"1";"Data modelling";"";""
"1";"data processing";"";""
"1";"Datenkonversion";"";""
"1";"Datenkuration";"";""
"1";"Datenlektorat";"";""
"1";"Datentransformation";"";""
"3";"design";"";""
"1";"designed the artwork for the web interface";"";""
"2";"Developer";"";""
"2";"Development";"";""
"1";"Development of the digital edition";"";""
"1";"DH Specialist";"";""
"1";"Digital Humanities";"";""
"1";"Digital Imaging Unit";"";""
"1";"Digital Librarian";"";""
"1";"Digital Library Analyst";"";""
"1";"Digitalisierungszentrum";"";""
"1";"Digitisation";"";""
"1";"direction";"";""
"4";"Director";"";""
"1";"Dokumentation";"";""
"1";"Edition Realization";"";""
"1";"Editionsleitung";"";""
"1";"Editionsprinzipien und Tagging";"";""
"1";"Editionsrichtlinien und Dokumentation des Datenmodells";"";""
"1";"Editionswissenschaftler";"";""
"1";"Editor in chief";"";""
"1";"Editorial board (technical realisation)";"";""
"7";"Editors";"";""
"1";"electronic data processing";"";""
"1";"Encoder";"";""
"1";"Engineer";"";""
"2";"Entwicklung";"";""
"1";"Erstellung der Chronologie";"";""
"1";"General coordinator";"";""
"1";"General Editor";"";""
"1";"Gesamtleitung";"";""
"1";"Gestaltung & Technische Umsetzung";"";""
"1";"Graphic Designer";"";""
"1";"Head of Digital Collections Discovery";"";""
"1";"Head of Digital Initiatives";"";""
"1";"Head of the Centre for Digital Scholarship and Digital Humanities Support";"";""
"1";"Head Technical Design";"";""
"6";"Herausgeber";"";""
"1";"Herausgeber/Mitherausgeber";"";""
